1
,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
338,10740.0,820.0,180.0,160.0,40.0,0.0,69
339,10180.0,1000.0,160.0,220.0,60.0,0.0,70
340,9740.0,760.0,340.0,240.0,40.0,0.0,71
341,10660.0,760.0,280.0,80.0,20.0,20.0,72
342,10720.0,560.0,220.0,240.0,0.0,0.0,73
343,10720.0,880.0,140.0,140.0,0.0,0.0,74
344,10680.0,860.0,400.0,260.0,20.0,20.0,75
345,10540.0,860.0,220.0,280.0,0.0,0.0,76
346,10980.0,880.0,460.0,300.0,40.0,0.0,77
347,10140.0,860.0,200.0,320.0,0.0,0.0,78
348,10160.0,980.0,240.0,180.0,0.0,0.0,79
349,10220.0,1200.0,260.0,200.0,0.0,0.0,80
350,10100.0,900.0,220.0,140.0,0.0,0.0,81
351,9720.0,720.0,200.0,220.0,20.0,0.0,82
352,10240.0,1140.0,260.0,280.0,80.0,0.0,83
353,10140.0,940.0,260.0,300.0,20.0,0.0,84
354,10260.0,820.0,140.0,260.0,20.0,0.0,85
355,10100.0,880.0,120.0,200.0,0.0,20.0,86
356,10140.0,840.0,180.0,260.0,20.0,0.0,87
357,9460.0,880.0,280.0,280.0,0.0,0.0,88
358,9200.0,900.0,260.0,180.0,0.0,0.0,89
359,10100.0,720.0,300.0,280.0,40.0,0.0,90
360,10340.0,960.0,220.0,180.0,40.0,0.0,91
361,10640.0,860.0,220.0,200.0,0.0,0.0,92
362,9600.0,580.0,380.0,260.0,20.0,0.0,93
363,9880.0,780.0,180.0,220.0,0.0,0.0,94
364,10220.0,640.0,240.0,220.0,0.0,0.0,95
365,9800.0,900.0,140.0,100.0,0.0,20.0,96
366,9740.0,1040.0,260.0,200.0,0.0,0.0,97
367,9980.0,940.0,180.0,240.0,0.0,,98
368,9700.0,760.0,140.0,300.0,40.0,0.0,99
369,9940.0,840.0,120.0,200.0,0.0,0.0,100
370,9020.0,800.0,200.0,140.0,0.0,0.0,101
371,9680.0,760.0,220.0,60.0,0.0,0.0,102
372,10280.0,920.0,200.0,140.0,60.0,0.0,103
373,9400.0,680.0,140.0,100.0,20.0,0.0,104
