1
 0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
18360, 2360, 700, 680, 40, 0 
4
 0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
12840, 1840, 580, 320, 40, 0 
12920, 1500, 360, 380, 60, 0 
13120, 1480, 640, 400, 0, 0 
13660, 1500, 600, 380, 40, 0 
13380, 2120, 520, 440, 0, 0 
13220, 2020, 600, 460, 0, 0 
13460, 1880, 460, 300, 0, 0 
12560, 1660, 660, 260, 40, 0 
13340, 1840, 500, 320, 0, 0 
13160, 1600, 420, 340, 0, 0 
13500, 1880, 360, 320, 0, 0 
12740, 1880, 520, 300, 0, 0 
13640, 1840, 420, 460, 20, 0 
13980, 1420, 400, 300, 0, 0 
13580, 1600, 380, 340, 20, 0 
13280, 2080, 440, 300, 0, 0 
12820, 1900, 620, 420, 20, 0 
12560, 1860, 540, 400, 0, 0 
13140, 1460, 580, 360, 0, 0 
13940, 1780, 480, 560, 0, 0 
13400, 1640, 420, 400, 60, 0 
14000, 1800, 440, 540, 0, 0 
12980, 1900, 580, 520, 40, 20 
12920, 1760, 780, 420, 0, 0 
13600, 1960, 500, 500, 60, 20 
13000, 2000, 540, 380, 20, 0 
13240, 1880, 480, 460, 20, 0 
12680, 1720, 560, 320, 20, 0 
12120, 1740, 480, 220, 20, 0 
12840, 1920, 400, 380, 20, 0 
12900, 1620, 480, 380, 0, 0 
13220, 1760, 420, 380, 20, 0 
13440, 1360, 420, 420, 0, 0 
13320, 1760, 560, 380, 0, 0 
12780, 1660, 580, 480, 0, 0 
13780, 1600, 500, 380, 0, 0 
14060, 1780, 620, 380, 0, 0 
13420, 1800, 540, 340, 20, 0 
14860, 1760, 520, 340, 0, 20 
13660, 1980, 540, 360, 0, 0 
14140, 1700, 480, 380, 0, 0 
13920, 1980, 400, 380, 20, 0 
16640, 1960, 400, 700, 20, 0 
14460, 1760, 480, 420, 40, 0 
20760, 2320, 800, 380, 40, 0 
22460, 2760, 520, 600, 0, 0 
15980, 2140, 520, 420, 0, 0 
15960, 1820, 580, 360, 20, 0 
16920, 2080, 680, 440, 40, 0 
18060, 1880, 540, 500, 0, 40 
14740, 1940, 600, 420, 40, 0 
14120, 1820, 680, 600, 20, 20 
13060, 1980, 480, 460, 60, 0 
14840, 1940, 540, 500, 0, 0 
14660, 1840, 560, 340, 0, 0 
15760, 1800, 640, 600, 40, 0 
14980, 2280, 580, 580, 0, 0 
13580, 1720, 760, 700, 0, 0 
14900, 1540, 580, 520, 80, 20 
13580, 1900, 520, 640, 80, 0 
14760, 1860, 560, 420, 20, 0 
14900, 2160, 560, 740, 40, 0 
15440, 2380, 580, 520, 20, 20 
14260, 2120, 480, 500, 60, 0 
15820, 1980, 620, 600, 100, 0 
13840, 2020, 780, 480, 0, 0 
15580, 1600, 600, 580, 40, 20 
15460, 1960, 560, 340, 0, 0 
15400, 1980, 820, 540, 0, 0 
15340, 1600, 780, 560, 60, 0 
